time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/ent_coef_loss,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef
10895,107,106.65,87.08173816,2234,4,0.5977188766002655,0.003,215880,-241866.0609375,56382558.6,745.0773254394531
11012,108,106.47,86.07586261,2260,4,0.7352997288107872,0.003,218220,-243216.81640625,58174135.4,738.0451080322266
11133,109,106.47,85.53843060999999,2288,4,0.5785263404250145,0.003,220640,-242414.02109375,61046339.8,725.6729156494141
11167,110,106.55,85.50223869999999,2296,4,-0.33486840724945066,0.003,221320,-245337.5234375,61060028.6,728.4679504394531
11305,111,107.07,85.73210807,2315,4,-0.31344076693058015,0.003,224080,-244735.62109375,67017332.4,684.3072174072265
11498,112,108.7,89.86153235,2351,4,0.2890713311731815,0.003,227940,-243566.13515625,69065084.8,712.9403472900391
11657,113,108.9,91.13445131999998,2381,4,-0.7190879985690117,0.003,231120,-250494.4078125,69227528.4,720.3451354980468
11829,114,110.08,91.64481783999997,2415,4,-1.1698310285806657,0.003,234560,-254595.21015625,77506410.4,756.9364593505859
11977,115,110.26,90.41925458999998,2447,4,0.5254071727395058,0.003,237520,-257893.534375,79896320.6,804.336376953125
12156,116,111.37,93.63644378,2486,4,-0.6577952325344085,0.003,241100,-270086.634375,96212756.4,839.7201507568359
12340,117,112.2,96.5133957,2521,4,0.3918697349727154,0.003,244780,-281369.6234375,112173998.8,867.5187561035157
12465,118,111.91,96.46288574,2550,4,-0.06597252637147903,0.003,247280,-292716.9703125,128592520.4,887.8250152587891
12554,119,112.06,96.95569041000003,2571,4,0.4152032196521759,0.003,249060,-295019.1125,138808055.2,936.6274810791016
12708,120,112.94,99.24482867000002,2603,4,-0.31474568620324134,0.003,252140,-312088.296875,159489946.4,996.9272186279297
12837,121,112.93,99.35563583000001,2629,4,-0.02920352965593338,0.003,254720,-328080.2390625,171923884.0,1030.5696075439453
12866,122,111.02,99.85992780999999,2633,4,-1.450310304760933,0.003,255300,-332376.0140625,179829649.6,1056.85009765625
13088,123,112.06,102.94382986000001,2679,4,0.3512565165758133,0.003,259740,-355902.2984375,156979052.0,1122.3826904296875
13230,124,112.01,104.76813269,2705,4,0.3229730069637299,0.003,262580,-359490.30625,157531262.8,1081.9576477050782
13327,125,111.71,104.52175423,2717,4,-0.44827493727207185,0.003,264520,-357490.4234375,151825034.4,978.391976928711
13491,126,112.65,106.62229651000001,2748,4,0.44577538669109346,0.003,267800,-346047.49375,149159999.2,933.8166870117187
13624,127,113.74,108.62791788,2779,4,0.3900350347161293,0.003,270460,-336392.8359375,137076878.4,910.2758087158203
13763,128,114.88,109.99195814999999,2805,4,-0.475483201444149,0.003,273240,-331374.278125,130787440.4,880.8062805175781
13867,129,115.66,110.56748927999999,2829,4,0.1544875532388687,0.003,275320,-328282.990625,130933532.0,854.6832641601562
13968,130,116.41,110.84968717999999,2851,4,1.1316163793206215,0.003,277340,-328467.9265625,133334299.6,889.7943115234375
14050,131,115.79,108.77681268999999,2865,4,-0.09958934187889099,0.003,278980,-325232.8421875,120585086.8,873.9057373046875
15022,132,125.11,115.39296216999998,3057,4,-0.4994868725538254,0.003,298420,-352401.7171875,143657673.2,981.1809753417969
15295,133,127.67,119.44054623999999,3121,4,-1.708752329647541,0.003,303880,-379808.8640625,170877652.0,1029.0675903320312
15445,134,128.98,120.19058537999999,3155,4,0.08726726174354553,0.003,306880,-390370.9046875,192615904.0,1049.1889282226562
15606,135,130.31,122.47266819999999,3187,4,-1.4126691952347756,0.003,310100,-404290.64375,202390964.0,1043.290869140625
15763,136,130.22,124.32336239000001,3222,4,0.03961199074983597,0.003,313240,-409731.2875,208668932.0,1062.634783935547
15917,137,131.63,126.51580800000002,3251,4,-1.190817665308714,0.003,316320,-410782.075,205248560.0,1060.1172241210938
16025,138,131.97,127.47549485000002,3275,4,0.186895302683115,0.003,318480,-407798.6359375,196631968.8,1049.7946655273438
16132,139,132.39,128.15699452,3295,4,0.36103261113166807,0.003,320620,-412057.08125,191788212.8,1082.5509216308594
16313,140,132.94,130.18478935000002,3328,4,0.1752001479268074,0.003,324240,-414037.5359375,184245099.2,1053.3322265625
16457,141,134.2,132.61406707000003,3352,4,-1.3135494321584702,0.003,327120,-409989.3515625,176709068.8,1065.3241760253907
16548,142,134.86,133.68183277000003,3370,4,-0.11760610640048981,0.003,328940,-416891.6078125,201123084.0,1064.4866638183594
16746,143,136.11,133.62270385000002,3406,4,0.7492073476314545,0.003,332900,-411328.9859375,209876367.2,1070.9203247070313
16866,144,136.26,134.08199137,3433,4,0.4354331687092781,0.003,335300,-405433.38125,190701915.2,1025.4581481933594
17086,145,137.8,135.19096763,3473,4,1.0639567449688911,0.003,339700,-394514.659375,193840923.2,1056.2123718261719
17274,146,138.84,136.61556508,3499,4,0.8300906121730804,0.003,343460,-386938.1171875,183117016.0,1048.050927734375
17431,147,139.36,135.72669747999998,3533,4,0.299707293510437,0.003,346600,-377122.7484375,189301455.2,1020.2242218017578
17555,148,140.38,136.34765632999998,3558,4,-0.40702563524246216,0.003,349080,-371530.984375,188448402.4,1036.861260986328
18035,149,145.01,138.48493784,3650,4,0.044723563641309735,0.003,358680,-371130.2,206731113.6,1001.3366149902344
18331,150,147.78,141.8127529,3701,4,-0.5110330700874328,0.003,364600,-393487.884375,232024703.2,1067.9798583984375
18412,151,148.39,142.22897339999997,3719,4,-0.1682317167520523,0.003,366220,-392193.4640625,257397796.0,1126.8914001464843
18481,152,148.84,142.34395163,3734,4,-0.20767954289913176,0.003,367600,-401779.03125,253305756.8,1176.5801879882813
18610,153,148.85,141.87005399,3756,4,-0.47644965201616285,0.003,370180,-424840.1375,309025640.8,1151.932635498047
18839,154,149.98,143.679072,3802,4,0.03270954191684723,0.003,374760,-437251.371875,312606681.6,1281.8113952636718
19061,155,151.24,145.17988961999998,3854,4,-0.7066353797912598,0.003,379200,-443267.125,325117657.6,1315.3547973632812
19259,156,151.46,146.53942422999998,3896,4,0.5107877165079117,0.003,383160,-452304.7421875,326156105.6,1313.11015625
19366,157,151.49,146.65428149,3913,4,-0.9240247666835785,0.003,385300,-457806.884375,317918860.8,1310.9556762695313
19563,158,152.73,149.29587703999997,3956,4,-0.4400020897388458,0.003,389240,-462118.5828125,351703433.6,1283.6617797851563
19744,159,153.69,149.00203317,3995,4,-0.589079899340868,0.003,392860,-460706.1984375,309430424.0,1197.3916137695312
19944,160,155.51,149.63888104,4026,4,-0.14284404814243318,0.003,396860,-453667.8265625,296174486.4,1231.9578002929688
20137,161,157.25,150.46342612,4062,4,0.06619154512882233,0.003,400720,-457292.515625,311388051.2,1204.0195678710938
20261,162,157.49,150.41838665999998,4089,4,0.6981931954622269,0.003,403200,-452404.51875,320429558.4,1220.2080078125
20407,163,156.38,148.33657017,4118,4,-0.26045130789279936,0.003,406120,-457109.4265625,340929873.6,1242.1556518554687
20586,164,156.4,147.72547569,4158,4,-0.37819567918777464,0.003,409700,-463969.625,341802427.2,1319.9830993652345
20725,165,157.58,148.64694476999998,4189,4,1.2699278265237808,0.003,412480,-463818.65,379109699.2,1257.0051818847655
20848,166,157.41,147.75863457,4214,4,0.046374520659446715,0.003,414940,-462041.56875,364585400.0,1220.5091735839844
21003,167,158.6,149.13463751999998,4244,4,1.1679120868444444,0.003,418040,-469469.5734375,356596113.6,1262.3908630371093
21219,168,159.7,151.04354637999998,4293,4,-1.4622975677251815,0.003,422360,-467261.459375,377924819.2,1209.5726013183594
21406,169,160.23,153.55061661,4332,4,-0.44308665543794634,0.003,426100,-488295.1390625,489337808.0,1274.4939880371094
21593,170,160.7,155.99958453,4374,4,-0.027521614730358124,0.003,429840,-489987.1765625,467766900.8,1323.6298889160157
21947,171,163.26,158.97239507999998,4449,4,1.0102647334337234,0.003,436920,-542215.9734375,609479340.8,1511.1837890625
