time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/episodes,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate
73977,24232,618.32,1924.6005007200001,3,206,1477520,-279.65240478515625,2.2244594275951384,0.07753589749336243,-0.15917085111141205,0.003
74977,24524,626.8,1952.5127538000002,3,207,1497520,-276.785888671875,2.3405612885951994,0.07712572813034058,-0.36767178773880005,0.003
75977,24817,634.77,1978.4810592300003,3,208,1517520,-280.1430969238281,2.6940558195114135,0.07924030721187592,0.13381730020046234,0.003
76977,25111,642.9,2005.4120801600002,3,209,1537520,-280.88140869140625,2.0475996792316438,0.08100225776433945,0.35266077518463135,0.003
77977,25408,650.71,2030.8242092600003,3,210,1557520,-288.04266357421875,2.9768373131752015,0.07796455174684525,0.19896601140499115,0.003
78977,25694,658.47,2056.8779312300003,3,211,1577520,-290.71600341796875,3.1053224980831144,0.07838854193687439,0.3414965569972992,0.003
79345,25803,660.09,2063.7110835500002,3,212,1584880,-285.3313903808594,2.714392226934433,0.07801397144794464,0.1260347068309784,0.003
80345,26097,668.43,2092.2561301600003,3,213,1604880,-286.5151062011719,3.7400316536426543,0.07845643162727356,-0.11716938763856888,0.003
81345,26391,676.9,2120.34019893,3,214,1624880,-286.2379150390625,2.093330031633377,0.07786152511835098,-0.006824105978012085,0.003
82345,26688,685.07,2147.58916448,3,215,1644880,-292.6656494140625,2.180377596616745,0.06526559591293335,-0.03499825298786163,0.003
83230,26954,692.29,2173.06134947,3,216,1662580,-291.37738037109375,1.8030283391475677,0.07704868912696838,-0.11685916036367416,0.003
83525,27042,693.4,2177.7176459,3,217,1668480,-283.9954833984375,2.0329686611890794,0.07666214555501938,0.10728908330202103,0.003
84525,27336,701.14,2203.9861633699998,3,218,1688480,-283.63983154296875,2.031088638305664,0.07537222653627396,-0.6555538773536682,0.003
85525,27637,709.4,2231.341384,3,219,1708480,-286.1275634765625,1.8346785247325896,0.07681405544281006,-0.5343935489654541,0.003
86525,27937,717.6,2258.64457188,3,220,1728480,-281.3370361328125,2.0868877172470093,0.07647833228111267,0.27352142333984375,0.003
87525,28240,726.19,2288.3985709500002,3,221,1748480,-277.58251953125,2.3110749244689943,0.0765826404094696,-0.44925346970558167,0.003
88525,28536,733.7,2314.47913606,3,222,1768480,-287.63958740234375,3.6466975688934324,0.06853928416967392,0.9499109983444214,0.003
89193,28731,738.13,2330.48127515,3,223,1781840,-290.87274169921875,2.249576735496521,0.07289952784776688,-0.4832494556903839,0.003
89755,28898,741.51,2342.13573623,3,224,1793080,-287.9091796875,2.7877829015254973,0.07535869628190994,-0.3868878483772278,0.003
90755,29192,749.72,2368.9549306799995,3,225,1813080,-287.47418212890625,2.0203732371330263,0.08203454315662384,-0.2360495924949646,0.003
91755,29485,757.44,2394.0342434399995,3,226,1833080,-288.5676574707031,2.4561675012111666,0.08197762817144394,-0.025664865970611572,0.003
92755,29782,765.18,2419.1801800400003,3,227,1853080,-286.03472900390625,2.2651069939136503,0.08156344294548035,0.09499967098236084,0.003
