time/total_timesteps,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/actor_loss
11106,102,4,2272,110.48,152.6088011,220100,0.003,9272.358349609374,16.057541275024413,-0.08575675785541534,-3220.5678466796876
11861,103,4,2428,117.61,160.79529763999997,235200,0.003,11705.800732421874,21.956295204162597,-0.3571344677358866,-3796.3449462890626
12002,104,4,2456,118.87,163.02121788,238020,0.003,10837.97255859375,16.210697746276857,-0.31489917635917664,-3634.7694458007813
12205,105,4,2497,120.43,165.49123646,242080,0.003,7907.2435546875,14.363884449005127,-0.24159327372908593,-3301.56484375
12792,106,4,2617,126.21,173.42422284,253820,0.003,7199.96669921875,17.03611240386963,0.30068424306809904,-3415.411096191406
12847,107,4,2629,126.63,174.21364709999997,254920,0.003,6838.926049804688,14.748780632019043,-0.16258669681847096,-3385.555383300781
13035,108,4,2667,127.29,175.49045306,258680,0.003,6029.7135009765625,14.703798294067383,-0.0820200152695179,-3141.149267578125
13181,109,4,2697,128.63,177.91506661,261600,0.003,6677.14462890625,11.767857217788697,0.016741865314543247,-2867.801025390625
13302,110,4,2722,129.58,179.35533224,264020,0.003,4919.390380859375,10.82132043838501,-0.07596032358705998,-2666.438269042969
13608,111,4,2785,132.34,183.12965287,270140,0.003,3690.4464721679688,8.179555892944336,0.14847185835242271,-2265.126513671875
14202,112,4,2907,137.15,188.27465626999998,282020,0.003,2395.8217590332033,7.875553917884827,0.2235745057463646,-1965.7587829589843
14323,113,4,2932,138.1,190.80795391999996,284440,0.003,2678.130969238281,8.646992015838624,-0.16530635617673398,-1917.9605895996094
14383,114,4,2944,138.42,191.79126232,285640,0.003,2632.6446044921877,7.999876308441162,-0.06642915233969689,-1926.6144714355469
14536,115,4,2975,139.65,194.53490847999993,288700,0.003,2279.6073669433595,7.080545973777771,0.002514493465423584,-1796.6593322753906
14624,116,4,2993,140.2,196.11498575,290460,0.003,2488.137042236328,7.346332120895386,0.19418139532208442,-1729.1043273925782
14833,117,4,3036,141.75,199.21005531999995,294640,0.003,3248.6337768554686,9.45028567314148,-0.38737364336848257,-1738.8984619140624
14916,118,4,3054,141.93,200.24612867,296300,0.003,4842.365161132812,14.002245092391968,0.05107081234455109,-2079.6864807128904
14983,119,4,3067,141.7,199.74337647000002,297640,0.003,5608.110949707031,16.116321325302124,0.050815068930387494,-2421.5993774414064
15091,120,4,3090,141.2,200.60009591,299800,0.003,5610.20283203125,13.385384225845337,0.28371823504567145,-2769.0953002929687
15246,121,4,3122,142.0,202.66458198,302900,0.003,6141.417614746094,10.267174434661865,-0.07900415323674678,-2837.9816040039063
15678,122,4,3211,146.04,207.45405523999997,311540,0.003,4313.834387207031,10.50628023147583,0.372896708920598,-2884.2616577148438
15862,123,4,3248,147.59,209.55789392999998,315220,0.003,4655.893078613281,8.644023942947388,-0.04991208054125309,-2851.452770996094
16019,124,4,3280,148.29,209.74320506,318360,0.003,6861.792333984375,11.416845750808715,-0.0845882061868906,-2925.8479614257812
16851,125,4,3451,155.94,218.54133295000003,335000,0.003,59225.780078125,46.03165893554687,-0.4282046176493168,-9411.84755859375
