time/total_timesteps,time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/ent_coef,train/critic_loss,train/n_updates,train/ent_coef_loss,train/learning_rate,train/actor_loss
26037,168,148.22,9877,392.56881855999995,2,0.10341016203165054,6.367980885505676,518720,-0.023682046681642532,0.003,-131.09039306640625
26184,169,148.32,9932,393.64128659999994,2,0.10486748069524765,6.375791001319885,521660,-0.32381612062454224,0.003,-131.94219970703125
26335,170,148.46,9989,394.57480074000006,2,0.09893157333135605,6.213531923294068,524680,-0.21743808686733246,0.003,-138.54083251953125
26477,171,148.6,10042,395.61151506000004,2,0.09895535558462143,5.66672990322113,527520,-0.004203461110591888,0.003,-134.3789520263672
26625,172,148.68,10098,396.41930623,2,0.0962974950671196,5.173000240325928,530480,0.739987313747406,0.003,-136.81825256347656
26773,173,148.8,10155,397.3368586700001,2,0.09399730712175369,6.439901947975159,533440,-0.1411166787147522,0.003,-139.7044677734375
26919,174,148.85,10210,398.0974031399999,2,0.09745859354734421,6.05182671546936,536360,-0.04787778854370117,0.003,-134.2327880859375
27067,175,148.89,10265,398.93177025,2,0.09131821990013123,4.82722555398941,539320,0.21198949217796326,0.003,-137.7454833984375
27215,176,148.93,10321,399.65377637999995,2,0.09110931307077408,4.767868781089783,542280,0.6958339214324951,0.003,-138.03594970703125
27365,177,148.9,10377,400.25766649999997,2,0.09206651896238327,5.534166383743286,545280,-0.9077890515327454,0.003,-138.69073486328125
