time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/episodes,train/ent_coef_loss,train/ent_coef,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss
5,32266,184.91943326,5981,244.01,186,0.36001732498407363,1.4024290978908538,0.03,5650.835186719894,643300,-93.38906822204589
5,32347,183.41465595000003,5992,243.18,187,-0.04483607031870633,1.1080128043889999,0.03,4317.115174865723,644920,-65.84097738265991
5,32419,183.49987908000003,6003,242.63,188,-1.395230095088482,0.30623563304543494,0.03,10185.340180635452,646360,-64.68887495994568
5,32492,183.29626315999997,6012,242.57,189,0.06475940234959125,1.0315762490034104,0.03,2565.06592168808,647820,-44.34909563064575
5,32562,181.46470645999997,6022,241.23,190,-0.011828790011350065,1.190982073545456,0.03,7483.05587234497,649220,-53.490584182739255
5,32640,180.99185241999996,6035,241.01,191,-0.3301930844783783,0.6322645097970963,0.03,3719.8292118906975,650780,-22.350977969169616
5,32710,180.54580015,6047,241.27,192,-0.7358798772096634,0.33971053212881086,0.03,1497.7665259599685,652180,-16.2383394241333
5,32780,176.55411630000003,6059,239.58,193,0.7996531307697297,0.4214545950293541,0.03,1385.2116111516953,653580,-13.702087926864625
5,32849,176.52086782000003,6069,238.37,194,1.5022270813584329,0.5607377216219902,0.03,3499.220122241974,654960,-13.419095754623413
5,32919,173.24674901999998,6085,236.15,195,-0.8307033322751523,0.34338020384311674,0.03,1789.101080584526,656360,-1.35051486492157
5,32990,173.38168652000004,6101,236.15,196,0.15027458295226098,0.6642388015985489,0.03,924.771173453331,657780,5.23850314617157
5,33061,173.12772938,6111,236.15,197,0.4421022776514292,0.27102484107017516,0.03,474.02386051416397,659200,10.287391901016235
5,33133,172.91530424,6128,236.37,198,7.720444846153259,0.06324702482670545,0.03,266.4184422850609,660640,6.0231285572052
5,33204,169.58390679000001,6142,235.18,199,0.013782328926026821,0.211854500323534,0.03,634.1988455474377,662060,8.428552162647247
5,33278,165.35459118000003,6158,233.38,200,-2.2820570528507234,0.37802750468254087,0.03,484.3884585976601,663540,14.184637653827668
5,33392,157.75652872,6173,225.08,201,-1.4908791422843932,0.5431552812457084,0.03,823.3733169913291,665820,10.919279551506042
5,33523,157.70485135,6194,226.16,202,-1.0753744542598724,0.4079934567213058,0.03,684.7100928544999,668440,9.866606783866882
5,34523,167.64499828,6387,236.05,203,1.76544808447361,2.015122628211975,0.03,8941.173825025558,688440,-5.454063272476196
5,34651,164.10103914000004,6405,234.97,204,0.5050631985068321,0.44153412580490115,0.03,3620.5969317674635,691000,4.060928893089295
5,34735,155.92697359,6421,227.23,205,0.4329673185944557,0.6079353362321853,0.03,3018.0346856594088,692680,7.318564605712891
