time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/episodes,train/actor_loss,train/ent_coef_loss,train/learning_rate,train/n_updates,train/ent_coef,train/critic_loss
25876,5640,315.93917612999996,221.77,4,145,-14425.967138671875,0.25138074718415737,0.003,515500,29.343496227264403,127021.0171875
26039,5676,317.36693714999996,222.76,4,146,-13583.10126953125,0.023423201218247414,0.003,518760,29.755392646789552,129543.401953125
26105,5691,315.52875126,220.9,4,147,-13596.207275390625,-0.4114582404494286,0.003,520080,31.262947368621827,132853.402734375
26142,5699,308.95410228,216.43,4,148,-13363.9505859375,-0.3151160791516304,0.003,520820,35.022165298461914,131006.25078125
26941,5877,315.75956046999994,222.9,4,149,-16956.9435546875,-0.047594286128878595,0.003,536800,55.846638679504395,201633.2359375
27211,5935,316.77663243999996,224.31,4,150,-17928.109765625,0.17969970293343068,0.003,542200,47.136314392089844,198673.01171875
27783,6058,312.93796282,220.66,4,151,-17842.052734375,-0.2701355140656233,0.003,553640,48.01852989196777,215529.39921875
27940,6093,312.55082078,220.83,4,152,-17319.05048828125,-0.47352358847856524,0.003,556780,39.535023307800294,183606.9609375
28112,6129,309.40330862999997,217.41,4,153,-16708.340673828126,-0.20304340049624442,0.003,560220,44.02651252746582,206896.490625
29112,6346,319.17215602,227.21,4,154,-22816.33857421875,-0.035622668266296384,0.003,580220,85.88027877807617,535525.9546875
29188,6362,315.9065534999999,226.08,4,155,-24647.20361328125,0.28352681919932365,0.003,581740,92.32767372131347,698475.1921875
29801,6499,317.83975425999995,230.89,4,156,-38809.1685546875,-0.568134979903698,0.003,594000,131.91177520751953,1111602.640625
29938,6529,316.30015719999994,231.11,4,157,-42885.2462890625,0.0525851309299469,0.003,596740,129.2525375366211,1266098.840625
30114,6569,315.31893648,231.7,4,158,-43103.2478515625,0.04075564742088318,0.003,600260,99.70602760314941,1475029.43125
30318,6611,314.66977139000005,232.56,4,159,-41370.9919921875,-0.44566708505153657,0.003,604340,109.86640663146973,1345889.359375
31318,6828,323.75617397999997,241.6,4,160,-42689.8068359375,-0.20946379229426385,0.003,624340,115.44712333679199,1074463.021875
31906,6960,330.75675985000004,246.42,4,161,-41917.7017578125,0.6400691002607346,0.003,636100,113.03264503479004,1103910.275
32532,7095,334.96941963000006,251.82,4,162,-40035.5869140625,-0.3845247559249401,0.003,648620,90.23618774414062,1032701.0375
