time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/n_updates,train/actor_loss,train/critic_loss
1415,41.1,3,53.228434740000004,4302,113,0.03,1.5266411304473877,0.05242729187011719,84020,-21.833595275878906,36.88729839324951
1420,41.17,3,53.29450389000001,4316,114,0.03,0.32897818088531494,0.06034618616104126,84300,-25.42148208618164,30.26870517730713
1425,41.25,3,53.352944750000006,4331,115,0.03,-0.4166443645954132,0.06769794970750809,84600,-25.056564331054688,33.146595287322995
1429,41.3,3,53.39683891000001,4345,116,0.03,1.2977774143218994,0.06668748706579208,84880,-23.888267517089844,40.07388172149658
1434,41.34,3,53.450689360000005,4358,117,0.03,-1.872988224029541,0.06603094190359116,85140,-24.796987533569336,45.438897895812985
1438,41.38,3,53.47912005,4372,118,0.03,1.5002641677856445,0.05746730789542198,85420,-24.45037078857422,44.066639232635495
1443,41.27,3,53.52683426999999,4385,119,0.03,-0.8198949694633484,0.057127051055431366,85680,-22.65976333618164,37.67259407043457
1447,40.82,3,53.18951745999999,4399,120,0.03,1.0076011419296265,0.051032163202762604,85960,-26.606229782104492,31.174781799316406
1452,40.31,3,53.301646299999994,4413,121,0.03,-0.18267923593521118,0.059236496686935425,86240,-27.78862762451172,43.246149158477785
1457,39.44,3,53.560311039999995,4427,122,0.03,-2.717559814453125,0.05895404890179634,86520,-22.890626907348633,40.31752338409424
1462,37.0,3,49.859485029999995,4441,123,0.03,1.0574406385421753,0.05326558277010918,86800,-25.060007095336914,36.872282314300534
1465,35.58,3,47.09255529,4453,124,0.03,2.489259958267212,0.053199153393507004,87040,-28.856624603271484,28.642964839935303
1471,34.03,3,44.20145816,4469,125,0.03,-2.182499885559082,0.05321110412478447,87360,-25.70233154296875,23.002911376953126
1476,32.88,3,41.760710419999995,4485,126,0.03,0.6145684719085693,0.049385882914066315,87680,-22.55548667907715,20.560337162017824
1481,31.11,3,38.39191758999999,4500,127,0.03,-0.049926310777664185,0.05039326101541519,87980,-26.623981475830078,26.274662923812866
1486,29.44,3,35.29038964,4515,128,0.03,1.6869722604751587,0.04879703000187874,88280,-26.985937118530273,18.04912338256836
1490,28.09,3,32.569140559999994,4529,129,0.03,2.353365659713745,0.052968185395002365,88560,-25.128896713256836,21.335633325576783
1495,26.35,3,29.456968900000003,4542,130,0.03,-2.289179801940918,0.049733053892850876,88820,-29.968164443969727,28.93180718421936
1499,24.97,3,26.741855490000003,4555,131,0.03,2.196516990661621,0.042084187269210815,89080,-28.353923797607422,37.44871196746826
1504,23.58,3,23.974848860000005,4569,132,0.03,-2.06522536277771,0.042205698788166046,89360,-28.504192352294922,20.13695111274719
1508,22.17,3,21.130128080000006,4581,133,0.03,0.7173457741737366,0.03864775598049164,89600,-29.966468811035156,20.579579544067382
1513,20.71,3,18.243894370000003,4594,134,0.03,3.819291114807129,0.04145897552371025,89860,-24.001556396484375,18.57500555515289
1518,19.39,3,15.48837896,4609,135,0.03,0.14574533700942993,0.05038118734955788,90160,-27.01264190673828,20.082838344573975
1522,18.01,3,12.72362038,4622,136,0.03,-0.6358453631401062,0.05070871487259865,90420,-29.394378662109375,22.24660725593567
1528,16.66,3,10.046691959999999,4639,137,0.03,-0.5901133418083191,0.03794802725315094,90760,-28.38193130493164,26.07819128036499
1533,14.74,3,5.798992429999999,4654,138,0.03,0.7750862836837769,0.033130910247564316,91060,-31.105209350585938,21.110275650024413
1538,12.85,3,2.736565770000001,4669,139,0.03,1.6782935857772827,0.04199645295739174,91360,-26.30030632019043,20.193532943725586
1542,11.61,3,1.64710895,4680,140,0.03,-0.39557692408561707,0.0510573573410511,91580,-33.73302459716797,25.008322095870973
1546,11.59,3,1.63743121,4693,141,0.03,-1.5013355016708374,0.054307807236909866,91840,-27.054790496826172,20.527309036254884
1550,11.58,3,1.6533319800000001,4706,142,0.03,1.330021858215332,0.04580549895763397,92100,-31.043663024902344,26.014454412460328
1555,11.57,3,1.6675070300000001,4720,143,0.03,-1.788655161857605,0.04587120562791824,92380,-30.06078338623047,22.123024463653564
1560,11.63,3,1.73244498,4735,144,0.03,1.0656135082244873,0.04458286613225937,92680,-32.36714172363281,22.16135458946228
1564,11.69,3,1.79810461,4749,145,0.03,0.08067572116851807,0.04940241575241089,92960,-31.219064712524414,26.325449323654176
1569,11.74,3,1.8458917299999995,4762,146,0.03,-1.5866482257843018,0.04837208241224289,93220,-28.26889419555664,25.52011070251465
1574,11.83,3,1.9154657799999995,4779,147,0.03,1.5480501651763916,0.04346242547035217,93560,-31.50844955444336,17.669727873802184
1578,11.88,3,1.9647768099999998,4791,148,0.03,1.3730659484863281,0.04525253176689148,93800,-26.43803596496582,19.237392234802247
1583,11.93,3,2.0327995499999996,4804,149,0.03,1.4189486503601074,0.04961201921105385,94060,-30.229528427124023,26.75939483642578
1588,12.02,3,2.1135322,4820,150,0.03,-0.5342565774917603,0.05767623707652092,94380,-27.614383697509766,19.22664604187012
1593,12.09,3,2.17693254,4835,151,0.03,0.014894664287567139,0.04278463125228882,94680,-29.22161102294922,20.889997005462646
1597,12.11,3,2.18894629,4847,152,0.03,-1.1893672943115234,0.03977857902646065,94920,-28.467445373535156,18.10148959159851
1602,12.19,3,2.2505855800000005,4862,153,0.03,-0.5783315896987915,0.048797424882650375,95220,-35.66477966308594,19.99791078567505
1609,12.28,3,2.3352120800000002,4880,154,0.03,-1.0223042964935303,0.04127589613199234,95580,-26.070457458496094,17.42083373069763
1614,12.34,3,2.38179833,4895,155,0.03,1.8700919151306152,0.0336381196975708,95880,-33.69020080566406,21.70084180831909
1620,12.44,3,2.4714154199999996,4913,156,0.03,1.3170808553695679,0.04352764040231705,96240,-31.574687957763672,34.82713556289673
1624,12.5,3,2.51534603,4926,157,0.03,-2.7129783630371094,0.05294068902730942,96500,-31.633039474487305,25.826444339752197
