rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/critic_loss,train/ent_coef,train/actor_loss,train/ent_coef_loss
177.86,4,4994,22969,158,290.63054970999997,457360,0.003,89396.7943359375,25.143415546417238,-12864.47607421875,0.16827251091599466
177.29,4,5007,23027,159,288.5403371,458520,0.003,218903.201171875,36.74679107666016,-12878.239501953125,-0.3225907273590565
178.24,4,5056,23249,160,287.37705453999996,462960,0.003,162277.273828125,51.48714962005615,-16521.735400390626,-0.44283408522605894
177.92,4,5077,23346,161,285.87169860999995,464900,0.003,122883.38359375,37.739107322692874,-16621.249462890624,0.254797981120646
178.07,4,5102,23463,162,286.2367522899999,467240,0.003,114737.02421875,32.77610569000244,-15877.342236328124,-0.48348811343312265
178.29,4,5127,23584,163,286.53844241999997,469660,0.003,77744.2408203125,22.272543907165527,-14556.208154296875,-0.23060363419353963
178.3,4,5145,23675,164,286.10098791999997,471480,0.003,115961.4525390625,23.27606143951416,-13607.354541015626,0.2104045607149601
178.99,4,5181,23846,165,286.57541538999993,474900,0.003,76016.22578125,26.730794048309328,-12819.71064453125,-0.2504205066710711
179.97,4,5228,24070,166,287.87247745999997,479380,0.003,79059.09296875,25.296734142303468,-12579.37607421875,0.1774655230343342
179.92,4,5248,24160,167,287.64433932,481180,0.003,103765.079296875,33.597083473205565,-12399.004150390625,-0.14601488448679448
179.39,4,5267,24249,168,285.16093888,482960,0.003,86214.3630859375,32.12989444732666,-12428.54140625,-0.17511989921331406
180.97,4,5346,24611,169,285.5904387,490200,0.003,98382.394921875,34.01609306335449,-11824.57724609375,0.017865249142050742
180.71,4,5375,24738,170,285.37816031,492740,0.003,113406.273046875,32.20880603790283,-13509.818408203126,-0.4105383723974228
180.02,4,5404,24869,171,284.84386114999995,495360,0.003,97264.858203125,29.289137744903563,-14339.0578125,0.2369672939181328
178.38,4,5417,24923,172,282.37987514,496440,0.003,115111.459375,30.123919868469237,-14506.2779296875,-0.00013636648654937744
178.03,4,5449,25065,173,282.13140668999995,499280,0.003,110403.26171875,30.35844497680664,-14958.494384765625,0.05607389286160469
181.01,4,5526,25435,174,286.28073484,506680,0.003,81039.26875,28.796115684509278,-14767.502734375,0.2534146212041378
183.56,4,5603,25787,175,289.64213104999993,513720,0.003,96028.275390625,26.554814529418945,-14832.549609375,-0.1862627474591136
184.13,4,5635,25928,176,290.90863134000006,516540,0.003,109430.115625,24.003022289276124,-14361.600927734375,-0.6612707905471324
183.8,4,5658,26034,177,291.49867206000005,518660,0.003,159583.141796875,32.778931045532225,-14130.242431640625,-1.0096603933721782
186.34,4,5725,26344,178,294.69082126000006,524860,0.003,148142.525,44.682684898376465,-16374.96533203125,0.14627418890595437
183.69,4,5739,26410,179,291.55231050000003,526180,0.003,135979.780078125,38.47665386199951,-16415.197216796874,-0.8437346287071705
184.49,4,5785,26615,180,293.43228465000004,530280,0.003,145100.487109375,41.54349956512451,-16840.270166015624,0.11618369743227959
185.89,4,5843,26888,181,295.31413141,535740,0.003,258755.83515625,39.537729263305664,-16278.657080078125,-0.0058009415864944455
185.52,4,5865,26991,182,294.69973902000004,537800,0.003,322664.41875,48.445433616638184,-18673.25546875,0.31188314184546473
185.2,4,5896,27141,183,294.44834221,540800,0.003,317323.1140625,38.31829204559326,-18436.30947265625,0.22327454574406147
184.88,4,5928,27292,184,294.0954023500001,543820,0.003,182766.31640625,34.32353763580322,-18369.93212890625,-0.752496887743473
184.78,4,5963,27449,185,293.73249313,546960,0.003,162812.624609375,33.71661510467529,-17745.66142578125,0.09435499757528305
183.34,4,5969,27476,186,291.06666079,547500,0.003,157019.705078125,34.69525928497315,-17591.16826171875,0.605269343405962
183.34,4,5994,27591,187,291.07455935999997,549800,0.003,125540.36484375,33.877149772644046,-16851.478466796874,-0.3154561921954155
185.39,4,6066,27918,188,292.96980741999994,556340,0.003,77185.690625,21.964898014068602,-14297.17880859375,0.6860352754592896
