time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,train/ent_coef_loss,train/n_updates,train/ent_coef,train/critic_loss,train/actor_loss,train/learning_rate
3,255.66787070689657,2472,8840,58,152.41379310344828,-3.1723246574401855,174780,0.1143605187535286,4.365736889839172,-124.65929412841797,0.03
3,257.1846426440678,2527,9036,59,153.15254237288136,-1.0966945886611938,178700,0.04722936823964119,4.1695317029953,-124.31558227539062,0.03
3,259.4743524666667,2592,9267,60,154.45,4.056837558746338,183320,0.048251740634441376,3.8137879610061645,-126.72515869140625,0.03
3,262.51079227868854,2675,9560,61,156.72131147540983,1.5334103107452393,189180,0.04888205602765083,3.934502291679382,-123.0625,0.03
3,268.06570982258063,2761,9867,62,159.1451612903226,-1.443962812423706,195320,0.06854953616857529,4.341675281524658,-124.50997924804688,0.03
3,269.30816946031746,2812,10049,63,159.5079365079365,-0.41525202989578247,198960,0.0644700825214386,4.976920592784881,-124.08819580078125,0.03
3,272.30317415625,2875,10271,64,160.484375,-1.3722214698791504,203400,0.0645986944437027,4.057156336307526,-119.64604187011719,0.03
3,274.1546185230769,2932,10470,65,161.07692307692307,0.13547852635383606,207380,0.05769679322838783,4.922815752029419,-127.8898696899414,0.03
3,275.78483713636365,2987,10667,66,161.62121212121212,-2.605963706970215,211320,0.07423526048660278,4.460826945304871,-129.72726440429688,0.03
3,277.5987976865672,3042,10864,67,162.1492537313433,-1.4729280471801758,215260,0.06606806069612503,4.6844604969024655,-132.38101196289062,0.03
3,278.667206632353,3091,11041,68,162.36764705882354,0.43383705615997314,218800,0.06513375788927078,4.128577399253845,-125.28416442871094,0.03
3,279.3824851159421,3141,11214,69,162.52173913043478,-0.9690807461738586,222260,0.08707350492477417,4.267834508419037,-123.9192886352539,0.03
3,281.0707932000001,3194,11399,70,162.84285714285716,0.31899526715278625,225960,0.06624781340360641,4.622856307029724,-124.40959930419922,0.03
3,282.8899733239437,3254,11606,71,163.46478873239437,-2.0177431106567383,230100,0.07282096147537231,4.6106630802154545,-120.44792938232422,0.03
3,287.0341872638889,3327,11869,72,164.84722222222223,1.5352222919464111,235360,0.053122084587812424,5.074683535099029,-122.8876953125,0.03
3,291.86299445205475,3417,12197,73,167.08219178082192,0.04315320402383804,241920,0.06178443133831024,5.042022061347962,-121.7414321899414,0.03
3,293.26420462162156,3470,12390,74,167.43243243243242,-1.9216607809066772,245780,0.07630500942468643,5.31152377128601,-123.87628173828125,0.03
3,294.19390330666664,3521,12575,75,167.66666666666666,-2.1218011379241943,249480,0.08551527559757233,5.508402490615845,-125.53125,0.03
3,296.2592533947368,3586,12812,76,168.57894736842104,1.3766857385635376,254220,0.07874992489814758,5.342971825599671,-122.99044036865234,0.03
3,297.7722450649351,3639,13005,77,168.8961038961039,-0.6918781995773315,258080,0.09464509785175323,5.078107297420502,-125.92817687988281,0.03
3,299.2505791282051,3702,13227,78,169.57692307692307,0.4627602994441986,262520,0.07198324054479599,4.986019659042358,-122.92144012451172,0.03
3,300.4269946455696,3761,13439,79,170.1139240506329,0.42560940980911255,266760,0.05884746462106705,4.442737185955048,-118.50009155273438,0.03
3,301.22891534999997,3816,13631,80,170.3875,4.957993984222412,270600,0.05065472796559334,4.536824798583984,-123.86073303222656,0.03
3,302.21581977777777,3870,13829,81,170.7283950617284,0.5792046785354614,274560,0.06727530807256699,4.611568558216095,-117.0829849243164,0.03
3,305.06584842682923,3943,14087,82,171.79268292682926,0.5851646661758423,279720,0.06014785170555115,4.701318347454071,-120.5995864868164,0.03
3,306.07178232530117,3998,14285,83,172.10843373493975,0.3655738830566406,283680,0.05537215620279312,4.537212288379669,-120.5614013671875,0.03
3,306.82923951190475,4050,14471,84,172.27380952380952,-1.5396760702133179,287400,0.08018366992473602,5.068167507648468,-118.84046936035156,0.03
3,308.4111604,4108,14677,85,172.6705882352941,-1.8763104677200317,291520,0.07162157446146011,5.002299046516418,-122.17627716064453,0.03
3,309.08841982558135,4164,14872,86,172.93023255813952,1.3221622705459595,295420,0.07603567093610764,4.880525624752044,-121.86786651611328,0.03
3,310.4171912413793,4223,15085,87,173.39080459770116,-0.5180506706237793,299680,0.06953795254230499,4.8081065773963925,-125.13168334960938,0.03
3,311.84891561363634,4280,15286,88,173.70454545454547,-1.291972041130066,303700,0.08891510218381882,5.5664638638496395,-121.01701354980469,0.03
3,313.137343247191,4340,15499,89,174.14606741573033,0.3754827380180359,307960,0.0674898624420166,4.591391932964325,-124.75062561035156,0.03
