time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/ent_coef_loss,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef
10255,46700,225,330.60799416000003,4,277.8,-0.1329164719209075,0.003,931980,-1817.1802917480468,2864.0983032226563,3.0853104829788207
10277,46795,226,325.69443767,4,271.52,0.1296249797567725,0.003,933880,-1793.2843017578125,2063.907647705078,2.9859762310981752
10302,46910,227,319.83192454999994,4,264.36,-0.014443021640181542,0.003,936180,-1700.9604919433593,2092.218212890625,2.495151388645172
10448,47584,228,329.22574474,4,270.97,-0.09481699783354998,0.003,949660,-1398.56240234375,2061.309149169922,2.3733887553215025
10571,48156,229,334.5601631299999,4,276.41,0.06783371055498719,0.003,961100,-1383.338916015625,1624.4799743652343,2.6152833700180054
10770,49068,230,350.64041205,4,283.42,-0.004501770623028279,0.003,979340,-1046.3607696533204,788.8626129150391,1.4967945635318756
10811,49259,231,351.4638204,4,283.27,-0.05530492649413645,0.003,983160,-987.4666717529296,786.9177825927734,1.7474874675273895
10884,49603,232,353.95083572000004,4,284.48,-0.0007146832766011357,0.003,990040,-858.7775756835938,705.0878860473633,1.1896335780620575
11103,50603,233,367.60147785000004,4,294.34,0.00046806186583125964,0.003,1010040,-675.0906646728515,348.33763122558594,0.9856162250041962
11171,50917,234,370.99395305999997,4,296.08,0.004556362866424024,0.003,1016320,-617.5304168701172,361.66345138549804,1.0720219373703004
11390,51917,235,374.36400484999996,4,299.21,-0.015551082883030176,0.003,1036320,-441.2429733276367,124.61430168151855,0.5966383159160614
11502,52411,236,381.40427603000006,4,303.99,0.007901172153651714,0.003,1046200,-394.449040222168,102.97088928222657,0.6660351157188416
11561,52684,237,383.4607874800001,4,306.2,-0.022252138634212316,0.003,1051660,-388.7231140136719,99.15704879760742,0.8140941619873047
11612,52907,238,385.27194609,4,307.5,-0.0724085109308362,0.003,1056120,-386.07128753662107,79.40465431213379,0.517373463511467
11832,53907,239,393.24891918000003,4,314.27,0.2165312420576811,0.003,1076120,-250.2566345214844,24.44170503616333,0.20629289150238037
11930,54355,240,397.91278378000004,4,318.04,0.055559346452355385,0.003,1085080,-216.72844161987305,24.348876953125,0.24237078353762626
11956,54470,241,397.9475664800001,4,318.06,-0.007539565116167069,0.003,1087380,-213.09745559692382,23.786902332305907,0.28850049823522567
11981,54586,242,397.0183551900001,4,317.57,0.09787958301603794,0.003,1089700,-208.797843170166,24.446749782562257,0.2232061356306076
12011,54720,243,396.92168941000006,4,317.23,0.0699088554829359,0.003,1092380,-206.43613967895507,22.05096378326416,0.2769482508301735
12230,55720,244,402.82992544,4,323.84,0.08226662017405033,0.003,1112380,-174.50219497680663,13.883051919937134,0.1525389574468136
12259,55846,245,403.52189139999996,4,323.88,-0.43184093069285157,0.003,1114900,-176.2478775024414,15.329726505279542,0.19726078510284423
12294,56003,246,403.54811402,4,323.66,-0.13469610176980495,0.003,1118040,-180.79597015380858,15.372470498085022,0.1798466145992279
12332,56193,247,405.0155516,4,324.0,-0.08725425899028778,0.003,1121840,-182.89730911254884,16.770808506011964,0.1874770164489746
