rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,time/episodes,train/learning_rate,train/n_updates,train/ent_coef,train/actor_loss,train/critic_loss,train/ent_coef_loss
246.1135911639344,1191,160.5737704918033,9795,8,61,0.003,193880,0.1417328417301178,-245.3333740234375,12.4876309633255,0.16780175268650055
248.79183583870963,1220,161.80645161290323,10032,8,62,0.003,198620,0.14919906854629517,-243.9573974609375,13.832117140293121,0.3626745641231537
250.88843269841266,1248,162.74603174603175,10253,8,63,0.003,203040,0.13008038699626923,-242.89877319335938,5.076693379878998,0.4703029692173004
251.1428411875,1268,162.515625,10401,8,64,0.003,206000,0.14386391639709473,-251.31236267089844,4.7393186211586,0.40038639307022095
253.44444049230773,1300,164.04615384615386,10663,8,65,0.003,211240,0.16014285385608673,-248.67523193359375,7.019353008270263,-0.3897390067577362
256.26066596969696,1330,165.3030303030303,10910,8,66,0.003,216180,0.1497376263141632,-248.31179809570312,4.008363032341004,0.430816650390625
256.5342703880597,1346,164.8507462686567,11045,8,67,0.003,218880,0.14134003221988678,-248.29547119140625,4.470435798168182,0.7407693862915039
257.7952741764706,1369,165.2941176470588,11240,8,68,0.003,222780,0.12987308204174042,-247.1907958984375,4.8447540402412415,-0.5682178735733032
257.95633947826093,1385,164.85507246376812,11375,8,69,0.003,225480,0.1313949078321457,-240.53990173339844,4.30658791065216,-0.529438316822052
255.14692424285718,1400,164.35714285714286,11505,8,70,0.003,228080,0.12677247822284698,-242.70213317871094,4.463109719753265,-0.5484210848808289
255.28793761971835,1417,163.92957746478874,11639,8,71,0.003,230760,0.13059541583061218,-238.9447021484375,4.986184930801391,0.2754930853843689
255.3856357777778,1433,163.45833333333334,11769,8,72,0.003,233360,0.13020989298820496,-243.71034240722656,3.6426263570785524,0.12507933378219604
256.47619569863014,1456,163.78082191780823,11956,8,73,0.003,237100,0.13044768571853638,-241.96473693847656,3.639509677886963,0.7852729558944702
257.5588247567568,1479,164.32432432432432,12160,8,74,0.003,241180,0.11864137649536133,-241.06285095214844,18.075300872325897,0.3262244462966919
256.7729310133334,1492,163.54666666666665,12266,8,75,0.003,243300,0.12075992673635483,-240.9374542236328,8.266568422317505,0.4579162001609802
258.3650431578948,1513,163.6578947368421,12438,8,76,0.003,246740,0.11696988344192505,-238.78732299804688,6.906354403495788,-0.6907273530960083
259.0171854025974,1530,163.5064935064935,12590,8,77,0.003,249780,0.12369374930858612,-239.1197967529297,13.660430777072907,0.030836522579193115
260.5115906923077,1554,163.87179487179486,12782,8,78,0.003,253620,0.12187858670949936,-241.20242309570312,7.847295022010803,-0.1915826052427292
261.37896126582285,1573,163.69620253164558,12932,8,79,0.003,256620,0.1239665076136589,-240.30776977539062,16.77385941743851,-0.6377186179161072
257.9660865625,1582,162.5375,13003,8,80,0.003,258040,0.11838652938604355,-240.52359008789062,7.643952023983002,-1.1878812313079834
259.1257984938271,1607,162.6172839506173,13172,8,81,0.003,261420,0.1215600073337555,-242.35812377929688,4.350116539001465,0.5611291527748108
260.09314898780485,1630,162.9268292682927,13360,8,82,0.003,265180,0.1219920814037323,-241.98239135742188,5.804624140262604,0.23101091384887695
261.5287811686747,1658,163.6265060240964,13581,8,83,0.003,269600,0.11940125375986099,-243.79708862304688,10.397988438606262,-0.2937157452106476
260.9971547738095,1670,162.92857142857142,13686,8,84,0.003,271700,0.11288386583328247,-242.02969360351562,4.50601361989975,-0.704471230506897
260.99603408235294,1687,162.6235294117647,13823,8,85,0.003,274440,0.11237073689699173,-240.790283203125,3.5105669260025025,0.60029536485672
260.8490813139535,1706,162.47674418604652,13973,8,86,0.003,277440,0.11253999173641205,-240.87603759765625,12.509842789173126,-0.9619388580322266
260.01468354022984,1718,161.80459770114942,14077,8,87,0.003,279520,0.10715904086828232,-240.12496948242188,6.3883452892303465,-0.15982896089553833
260.2919303068182,1736,161.5568181818182,14217,8,88,0.003,282320,0.11038906872272491,-240.18527221679688,5.74004168510437,-0.1094244122505188
261.79960631460676,1759,161.80898876404495,14401,8,89,0.003,286000,0.10540880262851715,-237.88255310058594,4.927711617946625,1.1350973844528198
263.2520247666667,1783,162.04444444444445,14584,8,90,0.003,289660,0.11092828959226608,-240.41578674316406,4.460807526111603,0.23516727983951569
264.95697782417585,1805,162.3186813186813,14771,8,91,0.003,293400,0.11074402183294296,-243.0928497314453,9.108432149887085,0.5960046052932739
265.17645527173914,1824,162.18478260869566,14921,8,92,0.003,296400,0.10824424773454666,-237.7303466796875,7.2985306024551395,0.5743261575698853
267.1020230967742,1854,163.13978494623655,15172,8,93,0.003,301420,0.11165137588977814,-237.7449951171875,5.859269332885742,-0.756493330001831
267.54424363829787,1874,163.09574468085106,15331,8,94,0.003,304600,0.10712438076734543,-240.68531799316406,5.187547111511231,0.8135673999786377
