time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/n_updates,train/ent_coef_loss,train/actor_loss,train/critic_loss
2,70.98950556999999,1703,5086,110,49.1,0.0774984359741211,0.03,99700,0.3258148431777954,-39.446556091308594,34.512875652313234
2,71.02092002,1708,5099,111,49.13,0.07644136250019073,0.03,99960,-1.696643590927124,-43.277183532714844,32.49836263656616
2,71.0615953,1712,5112,112,49.17,0.08588774502277374,0.03,100220,2.105039596557617,-45.90106964111328,22.53666729927063
2,71.13234716,1717,5126,113,49.24,0.11158064752817154,0.03,100500,-2.6355810165405273,-43.77071762084961,51.355123138427736
2,71.20253922,1722,5141,114,49.32,0.08112985640764236,0.03,100800,-1.8056889772415161,-40.515342712402344,57.41050415039062
2,71.25487457999999,1727,5153,115,49.36,0.06290032714605331,0.03,101040,3.629647731781006,-42.795387268066406,34.70948657989502
2,71.32158337,1731,5167,116,49.42,0.0725955218076706,0.03,101320,0.9176118969917297,-42.26001739501953,43.11871814727783
2,71.39791602,1737,5184,117,49.49,0.08913790434598923,0.03,101660,-0.7741265892982483,-48.88063430786133,35.28203287124634
2,71.48999881,1744,5202,118,49.58,0.07228702306747437,0.03,102020,-0.19224703311920166,-46.656524658203125,41.643907928466795
2,71.5465336,1751,5223,119,49.58,0.06633252650499344,0.03,102440,1.1384434700012207,-38.519325256347656,51.82228088378906
2,71.48880158,1756,5236,120,49.36,0.07519684731960297,0.03,102700,2.2019691467285156,-39.565826416015625,49.74748888015747
2,71.76267284000001,1761,5252,121,48.66,0.10182737559080124,0.03,103020,-1.3852851390838623,-43.146976470947266,39.91836519241333
2,70.5136657,1765,5264,122,46.36,0.09193789958953857,0.03,103260,-0.8554498553276062,-42.064979553222656,65.46703796386718
2,67.58576515,1770,5277,123,44.76,0.08331533521413803,0.03,103520,0.06094318628311157,-40.98159408569336,65.19082851409912
2,66.27798650999999,1774,5290,124,42.44,0.07714568078517914,0.03,103780,0.6258445382118225,-39.600006103515625,52.135653018951416
